No,provinsi,Sungai,2017,2018,2019,2020,2021,2022
85,KALIMANTAN SELATAN,Martapura,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan
86,KALIMANTAN SELATAN,Riam Kiwa,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan
87,KALIMANTAN SELATAN,Nagara,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar RinganCemar Sedang,Cemar Ringan
88,KALIMANTAN TIMUR,Mahakam,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan
89,KALIMANTAN TIMUR,Tenggarong,,,,,,Cemar Ringan
90,KALIMANTAN TIMUR,Jembayan,,,,,,Cemar Ringan
91,KALIMANTAN TIMUR,Karang Mumus,,,,,Cemar Ringan,Cemar Ringan
92,KALIMANTAN TIMUR,Outlet Danau Semayang,,,,,MemenuhiCemar Ringan,Cemar Ringan
93,KALIMANTAN UTARA,Sesayap,,,Cemar RinganCemar Sedang,Cemar RinganCemar Sedang,MemenuhiCemar Ringan,Cemar Ringan
94,SULAWESI UTARA,Talawan,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan
95,SULAWESI UTARA,Sangkup,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan
96,SULAWESI UTARA,Dumoga,,,Cemar RinganCemar Berat,Cemar RinganCemar Berat,Cemar Ringan,Cemar Ringan
97,SULAWESI TENGAH,Lariang,,,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan
98,SULAWESI SELATAN,Jeneberang,Cemar Ringan Cemar Berat,Cemar Ringan  Cemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan
99,SULAWESI SELATAN,Larona,MemenuhiCemar RinganCemar Berat,Cemar Ringan  Cemar Berat,Cemar RinganCemar Berat,Cemar RinganCemar Berat,,
100,SULAWESI SELATAN,Sadang,Cemar RinganCemar Berat,Cemar Ringan  Cemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Sedang
101,SULAWESI SELATAN,Walanae,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan
102,SULAWESI SELATAN,Tangka,Cemar RinganCemar Berat,Cemar Ringan  Cemar Berat,Cemar RinganCemar Berat,Cemar RinganCemar Berat,,Cemar Ringan
103,SULAWESI SELATAN,Gilireng,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,,
104,SULAWESI TENGGARA,Lariang,Cemar Berat,Cemar Berat,,,Cemar RinganCemar Sedang,Cemar Ringan
105,SULAWESI TENGGARA,Lalindu,Cemar Ringan Cemar Sedang,Cemar Ringan Cemar Sedang,Cemar RinganCemar Sedang,Cemar RinganCemar Sedang,Cemar Ringan,Cemar Ringan
